16 124 156;0.5316,0.903,-90.077
2 16 156;0.5759,0.854,-89.378
11 16 156;0.5285,0.893,-84.485
13 157;0.2215,0.959,-72.416
16 121 156;0.4430,0.933,-72.152
7 11 156;0.4684,0.908,-70.215
7 124 156;0.4589,0.906,-66.923
16 131 156;0.4335,0.926,-66.807
121 131 141 156;0.4177,0.936,-66.239
22 157;0.1994,0.969,-65.275
131 141 156;0.4430,0.909,-63.671
2 11 124 141 156;0.4399,0.908,-62.660
121 131 156;0.4335,0.913,-62.648
121 124 141 156;0.4241,0.918,-61.731
2 124 141 156;0.4810,0.874,-61.700
11 124 141 156;0.4399,0.903,-60.730
121 141 156;0.4335,0.907,-60.677
11 25 34 156;0.4051,0.928,-60.211
124 141 156;0.4810,0.869,-60.008
131 156;0.4589,0.884,-59.474
16 156;0.5759,0.784,-59.386
2 11 141 156;0.4525,0.888,-59.212
102 111 121 156;0.3797,0.938,-57.346
2 7 156;0.5032,0.841,-56.650
2 11 25 156;0.4082,0.908,-55.087
2 11 124 156;0.5190,0.824,-55.062
102 111 156;0.3924,0.919,-54.540
11 25 124 156;0.3671,0.935,-53.901
122 157;0.2342,0.822,-52.751
11 124 156;0.5190,0.816,-52.222
2 124 156;0.5665,0.775,-51.783
2 11 156;0.5601,0.780,-51.431
102 121 156;0.4146,0.891,-51.415
11 141 156;0.4525,0.861,-50.882
25 34 124 156;0.3987,0.900,-50.598
124 156;0.5665,0.768,-49.203
4 157;0.2057,0.855,-48.801
7 121 150 156;0.3386,0.939,-48.739
7 121 156;0.3766,0.908,-48.383
11 25 156;0.4082,0.884,-47.980
92 111 121 156;0.3354,0.938,-47.954
92 102 156;0.3734,0.908,-47.570
2 141 156;0.4968,0.818,-47.310
111 141 156;0.3861,0.897,-47.244
11 34 156;0.4747,0.833,-47.227
111 121 156;0.3924,0.892,-47.160
25 34 121 156;0.3291,0.937,-46.405
2 25 34 156;0.4367,0.857,-46.323
25 121 156;0.3323,0.929,-45.085
7 25 52 156;0.2943,0.959,-44.987
25 34 52 156;0.3386,0.922,-44.615
72 82 92 156;0.2816,0.967,-44.605
92 121 156;0.3608,0.905,-44.400
25 43 156;0.3513,0.910,-43.894
92 111 156;0.3354,0.922,-43.857
34 72 102 156;0.3354,0.922,-43.857
72 92 156;0.3070,0.942,-43.305
92 141 156;0.3386,0.915,-42.709
25 52 156;0.3386,0.915,-42.709
25 92 156;0.3133,0.934,-42.652
72 102 156;0.3354,0.914,-41.965
34 82 102 156;0.3418,0.908,-41.633
11 121 150 156;0.3956,0.868,-41.544
121 156;0.4778,0.812,-41.479
34 52 92 156;0.3323,0.913,-41.227
2 34 102 156;0.4272,0.844,-40.901
62 92 156;0.3228,0.919,-40.895
92 156;0.3797,0.876,-40.728
34 52 156;0.3861,0.871,-40.727
62 102 156;0.3291,0.912,-40.497
1 157;0.1203,1.000,-39.942
2 156;0.6108,0.694,-39.942
25 34 62 156;0.3101,0.925,-39.926
34 43 102 156;0.3418,0.900,-39.887
25 29 34 156;0.2816,0.947,-39.757
7 29 48 67 156;0.2595,0.965,-39.609
62 72 82 111 156;0.2690,0.955,-39.247
52 62 156;0.3386,0.899,-39.161
7 111 156;0.3228,0.911,-39.057
82 102 156;0.3449,0.893,-38.936
7 141 156;0.4082,0.849,-38.890
34 62 156;0.3513,0.888,-38.758
7 52 156;0.3038,0.923,-38.512
62 72 111 156;0.2848,0.938,-38.306
7 20 29 48 156;0.2627,0.954,-37.867
62 72 156;0.3006,0.922,-37.814
7 29 48 156;0.2911,0.929,-37.668
111 156;0.4082,0.843,-37.526
61 150 157;0.1424,0.918,-37.481
43 52 156;0.3513,0.881,-37.182
7 25 62 156;0.2690,0.944,-36.991
11 156;0.5601,0.741,-36.910
52 72 156;0.3038,0.914,-36.657
43 102 156;0.3418,0.885,-36.615
7 34 43 156;0.3196,0.902,-36.614
7 20 38 48 67 156;0.2184,0.986,-36.348
25 62 156;0.3101,0.907,-36.260
52 102 141 150 156;0.3101,0.907,-36.260
7 20 38 48 156;0.2437,0.962,-36.194
7 20 29 156;0.3006,0.913,-35.973
7 25 34 72 156;0.2627,0.943,-35.642
7 20 48 67 156;0.2627,0.943,-35.642
25 29 156;0.2816,0.927,-35.622
52 102 141 156;0.3133,0.900,-35.242
7 29 156;0.3354,0.883,-35.224
7 25 34 156;0.3924,0.844,-35.140
52 102 156;0.3418,0.878,-35.079
61 157;0.1646,0.839,-35.053
52 156;0.3861,0.847,-35.026
7 43 156;0.3196,0.894,-34.961
25 34 72 156;0.3038,0.906,-34.901
34 72 141 156;0.3101,0.899,-34.567
7 156;0.5032,0.772,-34.566
34 102 141 156;0.3956,0.839,-34.556
25 34 156;0.4367,0.812,-34.293
62 156;0.3513,0.867,-34.209
123 157;0.1203,0.950,-33.992
91 97 150 157;0.1266,0.930,-33.946
72 141 150 156;0.3070,0.898,-33.898
29 141 150 156;0.3196,0.886,-33.384
25 72 156;0.3038,0.897,-33.236
72 141 156;0.3101,0.891,-32.955
82 141 150 156;0.3165,0.885,-32.722
29 141 156;0.3291,0.874,-32.380
102 141 156;0.4335,0.806,-32.366
29 34 102 156;0.2627,0.922,-31.688
34 82 141 156;0.3165,0.877,-31.227
34 43 141 156;0.3133,0.876,-30.586
82 141 156;0.3196,0.871,-30.432
104 141 156;0.2816,0.899,-30.345
25 82 156;0.3038,0.881,-30.142
91 97 157;0.1361,0.860,-29.921
54 157;0.1013,0.970,-29.874
34 43 156;0.4019,0.814,-29.865
34 102 156;0.4272,0.799,-29.793
141 156;0.4968,0.758,-29.636
29 34 156;0.3481,0.846,-29.496
25 143 156;0.2215,0.946,-29.386
91 157;0.1614,0.785,-28.746
130 136 157;0.1171,0.902,-28.675
51 57 150 157;0.1044,0.943,-28.487
34 72 82 156;0.3133,0.861,-27.811
71 157;0.1424,0.818,-27.683
104 114 156;0.2500,0.908,-27.460
34 72 156;0.3418,0.837,-27.006
25 152 156;0.2089,0.943,-26.939
51 150 157;0.1108,0.897,-26.578
34 48 57 67 77 87 156;0.1835,0.967,-26.556
34 48 57 67 77 156;0.2057,0.942,-26.339
95 104 156;0.2342,0.914,-26.156
85 104 150 156;0.1930,0.953,-26.050
51 157;0.1329,0.824,-26.012
104 134 150 156;0.2025,0.941,-25.744
25 57 77 87 154 156;0.1487,1.000,-25.686
116 130 157;0.1076,0.895,-25.545
85 104 156;0.2215,0.921,-25.531
43 156;0.4019,0.794,-25.519
20 34 48 57 67 87 156;0.1899,0.952,-25.454
130 157;0.1392,0.800,-25.420
74 157;0.0949,0.938,-25.295
104 156;0.3133,0.846,-25.261
72 82 156;0.3133,0.846,-25.261
25 38 57 106 116 156;0.1456,1.000,-25.078
25 57 67 77 87 156;0.1614,0.981,-24.943
25 57 67 87 156;0.1867,0.952,-24.861
140 145 157;0.1203,0.844,-24.816
25 57 67 77 156;0.1741,0.965,-24.758
101 106 157;0.1044,0.892,-24.523
34 48 57 67 87 156;0.2057,0.929,-24.413
25 57 77 154 156;0.1582,0.980,-24.345
34 38 48 67 77 87 156;0.1582,0.980,-24.345
20 34 38 48 67 87 156;0.1582,0.980,-24.345
42 157;0.1139,0.857,-24.304
110 116 157;0.0981,0.912,-24.300
20 25 67 87 156;0.1835,0.951,-24.274
34 38 48 67 77 156;0.1835,0.951,-24.274
103 157;0.0918,0.935,-24.249
95 134 150 156;0.1709,0.964,-24.166
134 143 156;0.2405,0.894,-24.120
25 57 77 156;0.1930,0.938,-23.985
25 102 156;0.3829,0.796,-23.877
25 57 87 116 154 156;0.1392,1.000,-23.871
25 38 57 67 116 156;0.1392,1.000,-23.871
34 57 67 77 156;0.2215,0.909,-23.834
34 48 57 77 156;0.2215,0.909,-23.834
20 34 57 67 87 156;0.2120,0.918,-23.792
25 77 106 116 156;0.1551,0.980,-23.751
25 77 87 106 156;0.1551,0.980,-23.751
20 25 38 48 57 67 156;0.1551,0.980,-23.751
25 57 106 116 156;0.1677,0.964,-23.579
8 157;0.1013,0.889,-23.511
34 152 156;0.2532,0.879,-23.485
140 150 157;0.1203,0.826,-23.430
33 38 87 157;0.0823,0.963,-23.415
85 143 150 156;0.1899,0.938,-23.407
34 57 67 87 156;0.2278,0.900,-23.380
20 34 67 77 156;0.2278,0.900,-23.380
33 87 157;0.0949,0.909,-23.277
25 87 106 116 154 156;0.1361,1.000,-23.272
85 143 156;0.1994,0.926,-23.263
34 38 67 77 156;0.1994,0.926,-23.263
33 97 157;0.0886,0.933,-23.212
25 87 106 116 156;0.1519,0.980,-23.160
25 57 116 154 156;0.1519,0.980,-23.160
20 25 67 77 156;0.1772,0.949,-23.111
25 38 48 57 97 156;0.1772,0.949,-23.111
25 57 87 154 156;0.1646,0.963,-22.995
140 157;0.1424,0.763,-22.950
143 156;0.3070,0.836,-22.933
25 77 97 156;0.1867,0.937,-22.835
20 34 67 87 156;0.2247,0.899,-22.819
25 38 67 77 87 156;0.1329,1.000,-22.676
95 114 150 156;0.2057,0.915,-22.658
25 38 67 77 156;0.1487,0.979,-22.573
25 38 57 97 116 156;0.1487,0.979,-22.573
25 87 106 156;0.1741,0.948,-22.536
25 77 106 156;0.1741,0.948,-22.536
25 38 77 156;0.1741,0.948,-22.536
95 114 156;0.2310,0.890,-22.435
25 57 67 116 156;0.1614,0.962,-22.415
114 156;0.3165,0.826,-22.351
33 157;0.1329,0.778,-22.350
25 57 87 97 156;0.1835,0.935,-22.266
25 48 57 87 156;0.1835,0.935,-22.266
20 25 48 57 67 156;0.1835,0.935,-22.266
34 48 57 87 156;0.2215,0.897,-22.263
25 156;0.4430,0.757,-22.194
127 157;0.0854,0.931,-22.184
34 48 67 77 156;0.2120,0.905,-22.147
34 82 156;0.3449,0.807,-22.046
84 150 157;0.0696,1.000,-22.008
34 38 48 57 106 116 156;0.1456,0.979,-21.989
34 38 48 77 87 156;0.1709,0.947,-21.965
26 157;0.1013,0.865,-21.887
34 67 77 156;0.2437,0.875,-21.826
75 102 156;0.2184,0.896,-21.712
95 134 156;0.1804,0.934,-21.702
72 156;0.3418,0.806,-21.494
34 38 48 57 67 116 156;0.1424,0.978,-21.408
34 55 156;0.1677,0.946,-21.398
34 38 48 67 87 156;0.1677,0.946,-21.398
113 157;0.0886,0.903,-21.262
81 150 157;0.0886,0.903,-21.262
84 157;0.0823,0.929,-21.166
34 38 57 77 156;0.2057,0.903,-21.048
34 38 77 97 156;0.1867,0.922,-21.019
34 38 48 77 156;0.1962,0.912,-20.994
20 34 38 48 57 67 156;0.1962,0.912,-20.994
81 87 157;0.0981,0.861,-20.916
57 67 102 116 150 154 156;0.1234,1.000,-20.906
34 57 77 106 116 156;0.1646,0.945,-20.836
34 48 57 106 116 156;0.1646,0.945,-20.836
34 48 77 87 106 156;0.1646,0.945,-20.836
20 34 38 48 87 156;0.1646,0.945,-20.836
29 48 57 67 77 156;0.2215,0.886,-20.800
29 102 156;0.2943,0.830,-20.758
34 57 87 116 154 156;0.1519,0.960,-20.700
48 57 67 102 156;0.1741,0.932,-20.588
34 38 77 156;0.2278,0.878,-20.486
34 48 87 106 156;0.1835,0.921,-20.470
34 38 67 87 156;0.1835,0.921,-20.470
34 38 48 87 156;0.1835,0.921,-20.470
29 48 57 67 156;0.2785,0.838,-20.342
34 57 77 116 150 154 156;0.1203,1.000,-20.322
34 48 57 67 116 156;0.1614,0.944,-20.278
34 38 48 57 67 156;0.2184,0.885,-20.265
57 67 102 116 154 156;0.1361,0.977,-20.258
34 38 48 67 156;0.2342,0.871,-20.219
34 48 57 67 156;0.2563,0.853,-20.155
34 57 77 116 154 156;0.1487,0.959,-20.135
34 48 57 116 154 156;0.1487,0.959,-20.135
20 34 87 156;0.2405,0.864,-19.990
34 38 87 156;0.1994,0.900,-19.968
34 57 77 156;0.2468,0.857,-19.797
29 48 70 80 156;0.1171,1.000,-19.741
85 95 102 156;0.1582,0.943,-19.724
34 57 97 116 154 156;0.1582,0.943,-19.724
55 82 156;0.1329,0.977,-19.688
81 157;0.1076,0.810,-19.663
85 95 156;0.2057,0.890,-19.561
34 156;0.5190,0.710,-19.499
57 67 102 156;0.1962,0.899,-19.437
29 38 48 57 156;0.2658,0.840,-19.392
95 156;0.2722,0.835,-19.306
98 157;0.0823,0.897,-19.288
17 157;0.0823,0.897,-19.288
138 157;0.0696,0.957,-19.271
57 77 87 102 116 150 154 156;0.1139,1.000,-19.162
57 77 87 102 145 150 154 156;0.1139,1.000,-19.162
48 70 80 156;0.1297,0.976,-19.121
29 38 48 80 156;0.1297,0.976,-19.121
48 57 67 77 156;0.2342,0.860,-18.955
29 48 57 156;0.3133,0.805,-18.727
110 136 157;0.0854,0.871,-18.612
20 77 134 156;0.1108,1.000,-18.586
29 48 60 70 156;0.1108,1.000,-18.586
29 67 77 82 150 156;0.1108,1.000,-18.586
77 102 106 116 150 154 156;0.1108,1.000,-18.586
29 67 77 82 156;0.1266,0.976,-18.558
57 77 87 102 116 154 156;0.1266,0.976,-18.558
57 77 87 102 145 154 156;0.1266,0.976,-18.558
38 48 57 80 156;0.1392,0.957,-18.466
85 102 156;0.2310,0.859,-18.446
