100 124;0.5823,0.649,-47.635
2 13 19 25 124;0.2263,0.880,-36.424
6 124;0.5720,0.647,-35.635
2 19 25 124;0.2263,0.873,-35.003
13 19 25 124;0.2263,0.873,-35.003
2 20 97 122 124;0.2819,0.825,-34.894
98 124;0.5700,0.646,-33.809
2 20 97 124;0.2819,0.820,-33.778
2 13 25 90 124;0.2058,0.885,-33.342
2 13 25 97 124;0.2099,0.879,-33.076
13 19 20 124;0.3045,0.800,-32.806
13 20 97 124;0.2778,0.818,-32.617
2 97 122 124;0.3313,0.782,-32.553
2 97 124;0.3374,0.777,-32.429
2 25 90 124;0.2058,0.877,-31.908
13 25 90 124;0.2058,0.877,-31.908
13 25 97 124;0.2099,0.872,-31.682
2 13 25 124;0.2284,0.854,-31.625
20 97 122 124;0.3971,0.739,-31.341
19 124;0.5617,0.648,-31.165
20 97 124;0.3992,0.738,-31.123
2 13 90 122 124;0.2984,0.797,-31.087
13 20 90 124;0.2593,0.824,-30.772
13 90 122 124;0.3066,0.788,-30.429
2 20 90 122 124;0.2654,0.816,-30.295
2 13 90 124;0.3025,0.790,-30.266
4 13 20 122 124;0.2798,0.805,-30.046
2 89 90 122 124;0.2757,0.807,-29.953
13 97 124;0.3313,0.770,-29.792
13 90 124;0.3107,0.782,-29.665
13 25 43 102 124;0.1975,0.873,-29.620
4 13 20 124;0.2819,0.801,-29.598
2 90 122 124;0.3169,0.778,-29.490
2 25 124;0.2284,0.841,-29.208
2 4 20 122 124;0.2798,0.800,-29.050
4 13 25 124;0.1996,0.866,-28.848
2 20 90 124;0.2675,0.807,-28.777
13 25 102 124;0.2078,0.856,-28.513
13 25 108 124;0.1831,0.881,-28.446
90 122 124;0.5062,0.676,-28.205
13 16 25 124;0.2243,0.838,-28.115
13 25 124;0.2284,0.835,-28.063
20 90 124;0.4012,0.725,-27.711
90 124;0.5144,0.670,-27.620
2 4 13 122 124;0.3086,0.773,-27.317
4 13 122 124;0.3251,0.763,-27.275
4 20 122 124;0.4259,0.711,-27.203
2 4 20 124;0.2819,0.787,-26.735
4 20 124;0.4300,0.706,-26.173
2 4 122 124;0.3272,0.757,-26.135
4 122 124;0.5391,0.653,-25.941
10 20 25 43 58 67 89 102 108 124;0.0926,1.000,-25.930
10 20 25 43 58 67 68 89 108 124;0.0926,1.000,-25.930
10 25 89 102 108 124;0.1461,0.910,-25.887
10 20 25 43 67 68 89 108 124;0.1029,0.980,-25.844
10 20 46 68 89 102 108 122 124;0.1255,0.938,-25.511
10 25 89 108 124;0.1605,0.886,-25.198
97 124;0.5021,0.670,-25.166
2 13 20 124;0.2881,0.773,-24.735
2 20 122 124;0.3004,0.764,-24.398
13 20 108 124;0.2305,0.812,-24.362
10 20 46 68 89 102 108 124;0.1276,0.925,-24.223
